KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
cyprus holidays 2026,transactional,Cyprus | AI Overview Mobile,,1300,3043%,85%,"Images pack, Questions, AI Overview",Questions,83,-,https://www.solmarvillas.com/,83,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/cyprus-villas/cyprus-self-catering-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,5,2025-10-16
coral bay cyprus villas,transactional,Cyprus,,1300,-32%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,4,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
paphos villas to rent,commercial,Cyprus,,590,-18%,55%,"Ads Pack, Video Carousel, Images pack, Hotels","Images pack, Hotels",10,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/paphos,10,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,11,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/paphos,11,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
french riviera villa,commercial,France,,590,-19%,66%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
holidays in france,transactional,France | AI Overview Mobile,,2400,-17%,83%,"Video Carousel, Images pack, Questions, AI Overview","Images pack, Questions",100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
holiday villas in italy with private pool,commercial,Italy | AI Overview Desktop | AI Overview Mobile,,390,-18%,69%,"Video Carousel, Images pack, Local pack, Questions, AI Overview","Images pack, AI Overview",14,-,https://www.solmarvillas.com/,11,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,11,-,https://www.solmarvillas.com/,10,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,4,2025-10-16
best beaches in corfu,informational,Greece | AI Overview Desktop | AI Overview Mobile,Seasonal,2900,-18%,59%,"Video Carousel, Images pack, Local pack, Questions, AI Overview","Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/places-to-visit-in-corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/places-to-visit-in-corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
last minute holiday to cyprus,commercial,Cyprus,,1600,-16%,96%,Images pack,"Ads Pack, Ads Pack Down, Images pack",100,-,https://www.solmarvillas.com/destinations/cyprus-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/cyprus-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
book a villa in spain,transactional,Spain,,390,-19%,67%,"Images pack, Hotels","Images pack, Questions, Hotels",8,-,https://www.solmarvillas.com/destinations/spain-villas,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/,8,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
aphrodite hills holidays,transactional,Cyprus,,170,0%,98%,"Video Carousel, Images pack, Hotels",-,13,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/leisure-resorts/aphrodite-hills-resort,13,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,12,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/leisure-resorts/aphrodite-hills-resort,12,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,4,2025-10-16
villas in nice south of france,transactional,France,,110,125%,68%,"Video Carousel, Images pack, Hotels",Hotels,11,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,10,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,12,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,4,2025-10-16
istria,informational,Croatia | AI Overview Desktop | AI Overview Mobile,,9900,-84%,65%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/your-guide-to-istria,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/your-guide-to-istria,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
puglia villa,commercial,Italy,,1900,-16%,64%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",100,-,https://www.solmarvillas.com/destinations/italy-villas/puglia/bari,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/italy-villas/puglia/bari,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
villas to rent in coral bay,transactional,Cyprus,,320,-33%,68%,"Video Carousel, Hotels","Questions, Hotels",5,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,11,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,11,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
holiday villas costa brava,transactional,Spain,,110,56%,79%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",25,-,https://www.solmarvillas.com/,24,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,32,-,https://www.solmarvillas.com/,32,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,3,2025-10-16
beach holiday in portugal,informational,Portugal | AI Overview Desktop | AI Overview Mobile,,1300,0%,67%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/destinations/portugal-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/portugal-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
corfu things to do,informational,Greece | AI Overview Desktop | AI Overview Mobile,,1600,-16%,50%,"Ads Pack, Video Carousel, Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
typical food in cyprus,informational,Cyprus | AI Overview Mobile,,70,75%,78%,"Video Carousel, Images pack, Questions, AI Overview","Images pack, Local pack, Featured Snippet, Questions",22,-,https://www.solmarvillas.com/inspiration/food-and-culture/cyprus-cuisine,22,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,33,-,https://www.solmarvillas.com/inspiration/food-and-culture/cyprus-cuisine,33,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,3,2025-10-16
beach villas in croatia,commercial,Croatia | AI Overview Desktop | AI Overview Mobile,,210,-19%,66%,"Video Carousel, Images pack, Hotels, AI Overview","Images pack, Hotels, AI Overview",12,-,https://www.solmarvillas.com/destinations/croatia-villas,11,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/croatia-villas,8,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,3,2025-10-16
family holidays south of france,transactional,France | AI Overview Desktop | AI Overview Mobile,Seasonal,1000,-12%,73%,"Video Carousel, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
mainland greece holidays,transactional,Greece | AI Overview Desktop | AI Overview Mobile,,720,22%,71%,"Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",58,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece,58,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,53,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece,53,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
svoronata village,informational,Greece | AI Overview Mobile,Seasonal,1900,-45%,60%,"Video Carousel, Images pack, Questions, Flights, AI Overview",Questions,100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/svoronata,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/svoronata,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
best places to visit in cyprus,informational,Cyprus | AI Overview Desktop | AI Overview Mobile,,880,0%,69%,"Video Carousel, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
places to visit in cyprus,informational,Cyprus | AI Overview Desktop | AI Overview Mobile,,1000,-23%,70%,"Video Carousel, Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
best villas in greece,transactional,Greece,Seasonal,140,-21%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",20,-,https://www.solmarvillas.com/destinations/greece-villas,20,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,23,-,https://www.solmarvillas.com/destinations/greece-villas,19,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,3,2025-10-16
family villas in greece,informational,Greece,,170,-35%,72%,"Images pack, Hotels","Images pack, Hotels",10,-,https://www.solmarvillas.com/destinations/greece-villas,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,10,-,https://www.solmarvillas.com/destinations/greece-villas,10,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
cheap villas in france,commercial,France,Seasonal,170,-36%,67%,"Images pack, Questions, Hotels","Images pack, Hotels",13,-,https://www.solmarvillas.com/destinations/france-villas,12,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,16,-,https://www.solmarvillas.com/destinations/france-villas,16,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,2,2025-10-16
what is croatia famous for,informational,Croatia | AI Overview Mobile,Seasonal,390,49%,82%,"Video Carousel, Images pack, Questions, AI Overview",Questions,100,-,https://www.solmarvillas.com/inspiration/destination-guides/why-croatia-belongs-your-travel-list,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/why-croatia-belongs-your-travel-list,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
dubrovnik villa with pool,transactional,Croatia,,210,-46%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region,7,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
family villa croatia,informational,Croatia,,70,0%,79%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",10,-,https://www.solmarvillas.com/destinations/croatia-villas,10,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,12,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region,12,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
st tropez villas,transactional,France,,590,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",41,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera/st-tropez,41,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,44,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera/st-tropez,42,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
self catering villas portugal,informational,Portugal,Seasonal,70,80%,99%,"Images pack, Local pack",Local pack,6,-,https://www.solmarvillas.com/destinations/portugal-villas,5,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/portugal-villas,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas in halkidiki with private pool,transactional,Greece,,40,150%,55%,"Ads Pack, Video Carousel, Images pack, Hotels","Images pack, Hotels",19,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,18,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,16,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,16,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,2,2025-10-16
holiday villas coral bay cyprus,transactional,Cyprus,Seasonal,110,-22%,68%,"Video Carousel, Images pack, Hotels",Hotels,6,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/coral-bay,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
cheap villas in turkey,commercial,Turkey,,140,-36%,65%,"Video Carousel, Images pack, Questions, Hotels","Questions, Hotels",7,-,https://www.solmarvillas.com/destinations/turkey-villas,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/turkey-villas,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
visit croatia,informational,Croatia | AI Overview Mobile,,590,-33%,82%,"Video Carousel, Images pack, Questions, AI Overview","Images pack, Questions",100,-,https://www.solmarvillas.com/inspiration/adventure/10-things-to-do-in-croatia,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/adventure/10-things-to-do-in-croatia,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
beach villas in corfu,transactional,Greece,,170,-46%,72%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/greece-villas/corfu/beach-villas-in-corfu,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/corfu/beach-villas-in-corfu,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
things to do in skala kefalonia,informational,Greece | AI Overview Desktop | AI Overview Mobile,Seasonal,480,-18%,70%,"Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-kefalonia,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-kefalonia,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
villa resorts greece,commercial,Greece,,260,-64%,67%,"Images pack, Questions, Hotels","Images pack, Questions, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
olympus riviera holidays,informational,Greece | AI Overview Desktop | AI Overview Mobile,,20,100%,75%,"Images pack, AI Overview","Images pack, AI Overview",6,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,6,2025-10-17,No Brand Mentioned,6,-,,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,Top10,2,2025-10-16
holidays to olympus riviera,informational,Greece | AI Overview Desktop | AI Overview Mobile,,20,100%,75%,"Images pack, Questions, AI Overview",AI Overview,7,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,7,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,4,2025-10-17,Only Others Mentioned,8,-,,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/olympus-riviera,Top10,1,2025-10-16
winter holidays spain,transactional,Spain | AI Overview Desktop | AI Overview Mobile,Seasonal,210,-33%,72%,"Video Carousel, Images pack, Questions, AI Overview",AI Overview,100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
cyprus best attractions,informational,Cyprus | AI Overview Desktop | AI Overview Mobile,,260,-18%,45%,"Video Carousel, Images pack, Local pack, Questions, AI Overview","Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-cyprus,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
beautiful beaches in greece,informational,Greece | AI Overview Desktop | AI Overview Mobile,Seasonal,110,0%,49%,"Ads Pack, Video Carousel, Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",21,-,https://www.solmarvillas.com/inspiration/beaches/best-beaches-in-greece,21,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/beaches/best-beaches-in-greece,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
beach holidays in france for families,transactional,France | AI Overview Desktop | AI Overview Mobile,,140,-47%,70%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
why go to croatia,informational,Croatia | AI Overview Desktop | AI Overview Mobile,,40,-40%,67%,"Video Carousel, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/why-croatia-belongs-your-travel-list,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/why-croatia-belongs-your-travel-list,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
pretty greek villas,navigational,Greece,Brands,590,-18%,92%,Images pack,"Images pack, Questions",45,-,https://www.solmarvillas.com/,45,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/greece-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Medium,N/A,2025-10-16
cyprus villas with private pools,transactional,Cyprus,,1900,0%,68%,"Video Carousel, Images pack, Hotels",Hotels,3,-,https://www.solmarvillas.com/destinations/cyprus-villas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/cyprus-villas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in latchi cyprus,transactional,Cyprus,,390,-18%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/latchi,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/latchi,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
private villas in cyprus,transactional,Cyprus,,170,0%,86%,"Images pack, Local pack",Local pack,2,-,https://www.solmarvillas.com/destinations/cyprus-villas,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/cyprus-villas,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beach villas in greece,commercial,Greece,,720,0%,66%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/beachfront-villas-in-greece,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/beachfront-villas-in-greece,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
france holidays,transactional,France | AI Overview Desktop | AI Overview Mobile,Low relevance,6600,-33%,73%,"Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/france-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,N/A,2025-10-16
crete holiday villas,transactional,Greece,,1600,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
calpe villas to rent,transactional,Spain,,210,-34%,68%,"Images pack, Questions, Hotels","Images pack, Questions, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas to rent in puerto pollensa,transactional,Spain,,720,22%,68%,Hotels,"Questions, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/puerto-pollensa,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/puerto-pollensa,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
parga villas with pools,transactional,Greece,,30,100%,68%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/ionian-coast/parga,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/ionian-coast/parga,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
latchi beach villas,transactional,Cyprus,,70,29%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/latchi/latchi-beach-villa,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/cyprus-villas/paphos-region/latchi/latchi-beach-villa,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in calan forcat menorca,informational,Spain,,0,0%,68%,"Video Carousel, Images pack, Hotels","Questions, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-forcat,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-forcat,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
halkidiki villa holidays,transactional,Greece,,90,-29%,100%,Images pack,Images pack,2,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beach villas crete,transactional,Greece,,90,-22%,81%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/crete/beach-villas-in-crete,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/crete/beach-villas-in-crete,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
family villa resorts spain,informational,Spain,,30,-50%,55%,"Ads Pack, Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/family-villas-in-spain,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/family-villas-in-spain,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in lourdas kefalonia,transactional,Greece,,170,-19%,68%,"Images pack, Questions, Hotels",Hotels,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lourdas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lourdas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
greek villas with pool,informational,Greece,,2400,-19%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
